DATE,STATE,CASE,DEATHS,NEWCASES,NEWDEATHS
1.00,Texas,1,0,1,0
2.00,Texas,2,0,1,0
3.00,Texas,2,0,0,0
4.00,Texas,2,0,0,0
5.00,Texas,2,0,0,0
6.00,Texas,2,0,0,0
7.00,Texas,2,0,0,0
8.00,Texas,2,0,0,0
9.00,Texas,2,0,0,0
10.00,Texas,4,0,2,0
11.00,Texas,4,0,0,0
12.00,Texas,4,0,0,0
13.00,Texas,10,0,6,0
14.00,Texas,10,0,0,0
15.00,Texas,10,0,0,0
16.00,Texas,10,0,0,0
17.00,Texas,11,0,1,0
18.00,Texas,11,0,0,0
19.00,Texas,11,0,0,0
20.00,Texas,11,0,0,0
21.00,Texas,11,0,0,0
22.00,Texas,12,0,1,0
23.00,Texas,16,0,4,0
24.00,Texas,19,0,3,0
25.00,Texas,19,0,0,0
26.00,Texas,23,0,4,0
27.00,Texas,24,0,1,0
28.00,Texas,31,0,7,0
29.00,Texas,33,0,2,0
30.00,Texas,41,0,8,0
31.00,Texas,58,0,17,0
32.00,Texas,69,0,11,0
33.00,Texas,80,0,11,0
34.00,Texas,87,1,7,1
35.00,Texas,106,1,19,0
36.00,Texas,166,2,60,1
37.00,Texas,248,4,82,2
38.00,Texas,386,5,138,1
39.00,Texas,547,5,161,0
40.00,Texas,639,7,92,2
41.00,Texas,728,7,89,0
42.00,Texas,857,11,129,4
43.00,Texas,1132,13,275,2
44.00,Texas,1542,21,410,8
45.00,Texas,1971,25,429,4
46.00,Texas,2381,30,410,5
47.00,Texas,2722,35,341,5
48.00,Texas,3065,46,343,11
49.00,Texas,3588,57,523,11
50.00,Texas,4402,65,814,8
51.00,Texas,4952,80,550,15
52.00,Texas,5773,98,821,18
53.00,Texas,6566,124,793,26
54.00,Texas,7117,136,551,12
55.00,Texas,8150,159,1033,23
56.00,Texas,8968,177,818,18
57.00,Texas,9897,195,929,18
58.00,Texas,11372,228,1475,33
59.00,Texas,12291,249,919,21
60.00,Texas,13208,265,917,16
61.00,Texas,13776,288,568,23
62.00,Texas,14487,320,711,32
63.00,Texas,15303,365,816,45
64.00,Texas,16106,395,803,30
65.00,Texas,16928,428,822,33
66.00,Texas,18131,461,1203,33
67.00,Texas,18927,487,796,26
68.00,Texas,19441,503,514,16
69.00,Texas,20035,523,594,20
70.00,Texas,20949,552,914,29
71.00,Texas,21769,571,820,19
72.00,Texas,22706,601,937,30
73.00,Texas,23650,625,944,24
74.00,Texas,24494,662,844,37
75.00,Texas,25209,676,715,14
76.00,Texas,25963,699,754,23
77.00,Texas,26868,738,905,39
78.00,Texas,27839,776,971,38
79.00,Texas,29072,828,1233,52
80.00,Texas,30342,853,1270,25
81.00,Texas,31433,875,1091,22
82.00,Texas,32299,890,866,15
83.00,Texas,33134,914,835,24
84.00,Texas,34286,955,1152,41
85.00,Texas,35441,985,1155,30
86.00,Texas,36682,1016,1241,31
87.00,Texas,37943,1059,1261,43
88.00,Texas,38849,1086,906,27
89.00,Texas,40037,1110,1188,24
90.00,Texas,40988,1137,951,27
91.00,Texas,42348,1169,1360,32
92.00,Texas,43822,1205,1474,36
93.00,Texas,45169,1256,1347,51
94.00,Texas,46987,1300,1818,44
95.00,Texas,47866,1330,879,30
96.00,Texas,48828,1356,962,26
97.00,Texas,49788,1362,960,6
98.00,Texas,51080,1405,1292,43
99.00,Texas,52369,1443,1289,38
100.00,Texas,53441,1480,1072,37
101.00,Texas,54369,1498,928,18
102.00,Texas,55451,1522,1082,24
103.00,Texas,56050,1533,599,11
104.00,Texas,56490,1536,440,3
105.00,Texas,57573,1552,1083,16
106.00,Texas,59105,1598,1532,46
107.00,Texas,60820,1618,1715,20
108.00,Texas,62073,1645,1253,27
109.00,Texas,63396,1676,1323,31
110.00,Texas,64974,1683,1578,7
111.00,Texas,66081,1695,1107,12
